model,prompt_family,init_type,condition_type,round,fact_type,coarse_group,n_facts,survival_rate,survival_score_mean,ci_low,ci_high
minimax,general_task_aware,DETAIL_HEAVY,needed,2,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,20,0.65,0.65,0.45,0.85
minimax,general_task_aware,DETAIL_HEAVY,needed,2,COMPLETED_SUBTASK,TASK_STATE,3,1.0,1.0,1.0,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,2,ENVIRONMENT_STATE,TASK_STATE,1,1.0,1.0,1.0,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,2,EXACT_IDENTIFIER,EXECUTABLE,12,1.0,1.0,1.0,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,2,NARRATIVE_PROGRESS,NARRATIVE,2,1.0,0.875,1.0,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,2,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,16,0.625,0.625,0.375,0.8453124999999986
minimax,general_task_aware,DETAIL_HEAVY,needed,2,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,6,1.0,1.0,1.0,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,2,RUNTIME_VARIABLE,EXECUTABLE,16,0.875,0.9,0.6875,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,3,ACTION_OUTCOME,EXECUTABLE,4,0.5,0.6,0.0,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,3,API_SCHEMA_OR_PARAMETER,EXECUTABLE,14,0.8571428571428571,0.8571428571428571,0.6428571428571429,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,3,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,20,0.6,0.6,0.35,0.8
minimax,general_task_aware,DETAIL_HEAVY,needed,3,COMPLETED_SUBTASK,TASK_STATE,3,1.0,1.0,1.0,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,3,ENVIRONMENT_STATE,TASK_STATE,1,1.0,1.0,1.0,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,3,EXACT_IDENTIFIER,EXECUTABLE,12,0.9166666666666666,0.9166666666666666,0.75,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,3,NARRATIVE_PROGRESS,NARRATIVE,2,1.0,0.875,1.0,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,3,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,16,0.6875,0.6875,0.5,0.875
minimax,general_task_aware,DETAIL_HEAVY,needed,3,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,6,1.0,1.0,1.0,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,3,RUNTIME_VARIABLE,EXECUTABLE,16,0.75,0.75,0.5625,0.9375
minimax,general_task_aware,DETAIL_HEAVY,needed,4,ACTION_OUTCOME,EXECUTABLE,4,0.5,0.5,0.0,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,4,API_SCHEMA_OR_PARAMETER,EXECUTABLE,14,0.7857142857142857,0.7857142857142857,0.5714285714285714,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,4,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,20,0.5,0.5,0.25,0.7262499999999988
minimax,general_task_aware,DETAIL_HEAVY,needed,4,COMPLETED_SUBTASK,TASK_STATE,3,1.0,1.0,1.0,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,4,ENVIRONMENT_STATE,TASK_STATE,1,1.0,1.0,1.0,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,4,EXACT_IDENTIFIER,EXECUTABLE,12,0.75,0.75,0.5,0.9166666666666666
minimax,general_task_aware,DETAIL_HEAVY,needed,4,NARRATIVE_PROGRESS,NARRATIVE,2,0.5,0.7,0.0,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,4,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,16,0.6875,0.6875,0.4375,0.9375
minimax,general_task_aware,DETAIL_HEAVY,needed,4,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,6,1.0,1.0,1.0,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,4,RUNTIME_VARIABLE,EXECUTABLE,16,0.6875,0.7125,0.4375,0.9375
