case_id,model,prompt_family,condition_type,init_a,init_b,init_fact_jaccard_distance,init_type_l1_distance,init_text_distance,fin_fact_jaccard_distance,fin_type_l1_distance,fin_text_distance,contraction_fact_jaccard,contraction_type_l1,contraction_text
396c5a2_1,minimax,general_task_aware,needed,DETAIL_HEAVY,NARRATIVE_HEAVY,0.11111111111111116,0.09722222222222224,0.5784313725490196,0.33333333333333337,0.2777777777777778,0.7047619047619047,2.999999999999999,2.8571428571428568,1.2184019370460049
396c5a2_1,minimax,general_task_aware,needed,DETAIL_HEAVY,RAW_FULL,0.0,0.0,0.07773109243697474,1.0,0.5,1.0,100000000.0,50000000.0,12.864864864864874
396c5a2_1,minimax,general_task_aware,needed,FACT_TABLE_ONLY,NARRATIVE_HEAVY,0.11111111111111116,0.09722222222222224,0.8842105263157894,0.4444444444444444,0.33333333333333326,0.8235294117647058,3.9999999999999982,3.428571428571427,0.9313725490196079
396c5a2_1,minimax,general_task_aware,needed,FACT_TABLE_ONLY,RAW_FULL,0.0,0.0,0.9305263157894736,1.0,0.5,1.0,100000000.0,50000000.0,1.0746606334841629
396c5a2_1,minimax,general_task_aware,needed,NARRATIVE_HEAVY,RAW_FULL,0.11111111111111116,0.09722222222222224,0.5666666666666667,1.0,0.49999999999999994,1.0,8.999999999999996,5.1428571428571415,1.7647058823529411
396c5a2_1,qwen,general_task_aware,needed,DETAIL_HEAVY,FACT_TABLE_ONLY,0.0,0.0,0.8550420168067226,0.0,0.0,0.725,0.0,0.0,0.8479115479115479
396c5a2_1,qwen,general_task_aware,needed,DETAIL_HEAVY,NARRATIVE_HEAVY,0.11111111111111116,0.09722222222222224,0.584942084942085,0.25,0.20833333333333331,0.76,2.249999999999999,2.1428571428571423,1.2992739273927392
396c5a2_1,qwen,general_task_aware,needed,DETAIL_HEAVY,RAW_FULL,0.0,0.0,0.07773109243697474,1.0,0.5,1.0,100000000.0,50000000.0,12.864864864864874
396c5a2_1,qwen,general_task_aware,needed,FACT_TABLE_ONLY,NARRATIVE_HEAVY,0.11111111111111116,0.09722222222222224,0.8873720136518771,0.25,0.20833333333333331,0.8352941176470589,2.249999999999999,2.1428571428571423,0.9413122171945701
396c5a2_1,qwen,general_task_aware,needed,FACT_TABLE_ONLY,RAW_FULL,0.0,0.0,0.9305263157894736,1.0,0.5,1.0,100000000.0,50000000.0,1.0746606334841629
396c5a2_1,qwen,general_task_aware,needed,NARRATIVE_HEAVY,RAW_FULL,0.11111111111111116,0.09722222222222224,0.5679012345679013,1.0,0.49999999999999994,1.0,8.999999999999996,5.1428571428571415,1.7608695652173911
396c5a2_2,minimax,general_task_aware,needed,DETAIL_HEAVY,FACT_TABLE_ONLY,0.0,0.0,0.8883826879271071,0.25,0.2083333333333333,0.75,25000000.0,20833333.33333333,0.8442307692307692
396c5a2_2,minimax,general_task_aware,needed,DETAIL_HEAVY,NARRATIVE_HEAVY,0.0,0.0,0.603411513859275,0.4285714285714286,0.1666666666666667,0.73,42857142.85714286,16666666.666666672,1.2097879858657243
396c5a2_2,minimax,general_task_aware,needed,DETAIL_HEAVY,RAW_FULL,0.0,0.0,0.07061503416856496,1.0,0.5,1.0,100000000.0,50000000.0,14.161290322580637
396c5a2_2,minimax,general_task_aware,needed,FACT_TABLE_ONLY,NARRATIVE_HEAVY,0.0,0.0,0.9139344262295082,0.375,0.30000000000000004,0.7789473684210526,37500000.0,30000000.000000004,0.8523011564786406
396c5a2_2,minimax,general_task_aware,needed,FACT_TABLE_ONLY,RAW_FULL,0.0,0.0,0.95662100456621,1.0,0.5,1.0,100000000.0,50000000.0,1.045346062052506
396c5a2_2,minimax,general_task_aware,needed,NARRATIVE_HEAVY,RAW_FULL,0.0,0.0,0.5914221218961626,1.0,0.5,1.0,100000000.0,50000000.0,1.6908396946564883
396c5a2_2,qwen,general_task_aware,needed,DETAIL_HEAVY,FACT_TABLE_ONLY,0.125,0.12499999999999997,0.8883826879271071,0.0,0.0,0.7471264367816092,0.0,0.0,0.8409961685823755
396c5a2_2,qwen,general_task_aware,needed,DETAIL_HEAVY,NARRATIVE_HEAVY,0.0,0.0,0.6068376068376069,0.5,0.3142857142857143,0.7333333333333334,50000000.0,31428571.42857143,1.208450704225352
396c5a2_2,qwen,general_task_aware,needed,DETAIL_HEAVY,RAW_FULL,0.0,0.0,0.07061503416856496,1.0,0.5,1.0,100000000.0,50000000.0,14.161290322580637
396c5a2_2,qwen,general_task_aware,needed,FACT_TABLE_ONLY,NARRATIVE_HEAVY,0.125,0.12499999999999997,0.9218106995884774,0.5,0.3142857142857143,0.7282608695652174,4.0,2.5142857142857147,0.79003299689441
396c5a2_2,qwen,general_task_aware,needed,FACT_TABLE_ONLY,RAW_FULL,0.125,0.12499999999999997,0.95662100456621,1.0,0.5,1.0,8.0,4.000000000000001,1.045346062052506
396c5a2_2,qwen,general_task_aware,needed,NARRATIVE_HEAVY,RAW_FULL,0.0,0.0,0.5854214123006833,1.0,0.5,1.0,100000000.0,50000000.0,1.708171206225681
3ab5b8b_1,minimax,general_task_aware,needed,DETAIL_HEAVY,FACT_TABLE_ONLY,0.0,0.0,0.904950495049505,1.0,0.49999999999999994,0.9012345679012346,100000000.0,49999999.99999999,0.9958937785341869
3ab5b8b_1,minimax,general_task_aware,needed,DETAIL_HEAVY,NARRATIVE_HEAVY,0.0,0.0,0.565377532228361,1.0,0.5,0.9565217391304348,100000000.0,50000000.0,1.691828352924515
3ab5b8b_1,minimax,general_task_aware,needed,DETAIL_HEAVY,RAW_FULL,0.0,0.0,0.04752475247524757,0.0,0.0,1.0,0.0,0.0,21.041666666666647
3ab5b8b_1,minimax,general_task_aware,needed,FACT_TABLE_ONLY,NARRATIVE_HEAVY,0.0,0.0,0.9084745762711864,0.33333333333333337,0.08333333333333333,0.9130434782608696,33333333.333333336,8333333.333333333,1.005029201817002
3ab5b8b_1,minimax,general_task_aware,needed,FACT_TABLE_ONLY,RAW_FULL,0.0,0.0,0.9503968253968254,1.0,0.49999999999999994,1.0,100000000.0,49999999.99999999,1.0521920668058455
