fact_id,case_id,fact_type,passed,needed_condition_mentions_fact,unneeded_condition_mentions_fact,length_match_ok,delta_len_pct,needed_chars,unneeded_chars,elapsed_s,error,reason
68ee2c9_2.fact0004,68ee2c9_2,API_SCHEMA_OR_PARAMETER,True,False,False,True,0.102,196,177,16.51104760169983,,
68ee2c9_2.fact0013,68ee2c9_2,FILE_PATH_OR_RESOURCE_LOCATOR,True,False,False,True,0.037,209,218,19.13481831550598,,
68ee2c9_2.fact0003,68ee2c9_2,API_SCHEMA_OR_PARAMETER,True,False,False,True,0.109,184,164,18.20053219795227,,
68ee2c9_2.fact0011,68ee2c9_2,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,True,False,False,True,0.173,208,172,17.71204972267151,,
6c2c621_1.fact0010,6c2c621_1,AUTH_OR_ACCESS_TOKEN,True,False,False,True,0.175,162,133,14.832471132278442,,
6c2c621_1.fact0015,6c2c621_1,NARRATIVE_GOAL,False,True,True,True,0.018,222,216,17.2377507686615,,
6c2c621_1.fact0003,6c2c621_1,AUTH_OR_ACCESS_TOKEN,True,False,False,True,0.048,161,171,19.812694549560547,,
6c2c621_1.fact0005,6c2c621_1,RUNTIME_VARIABLE,False,False,False,False,0.0,0,0,21.86807942390442,,empty_condition_task
6c2c621_1.fact0009,6c2c621_1,AUTH_OR_ACCESS_TOKEN,True,False,False,True,0.031,252,262,21.284318208694458,,
6c2c621_1.fact0013,6c2c621_1,ACTION_OUTCOME,False,True,False,False,0.462,210,113,16.497318744659424,,
6c2c621_1.fact0006,6c2c621_1,API_SCHEMA_OR_PARAMETER,True,False,False,True,0.318,179,122,16.535957098007202,,
6c2c621_1.fact0007,6c2c621_1,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,True,False,False,True,0.038,211,200,15.365299940109253,,
6c2c621_1.fact0011,6c2c621_1,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,True,False,False,True,0.306,196,137,16.507022857666016,,
6c2c621_2.fact0003,6c2c621_2,AUTH_OR_ACCESS_TOKEN,True,False,False,True,0.295,245,174,16.454806566238403,,
6c2c621_2.fact0016,6c2c621_2,API_SCHEMA_OR_PARAMETER,False,True,False,True,0.111,130,145,14.683900117874146,,
