context_id,budget,setting,mean_jaccard,mean_sbert,n_pairs
locomo::conv-49::6daa60e277,128,within:A_react,0.013333333333333334,0.11645398537317912,3
locomo::conv-49::6daa60e277,128,within:A_plan,0.23214217522214878,0.48138363659381866,3
locomo::conv-49::6daa60e277,128,within:A_cot,0.2740825066406462,0.802819013595581,3
locomo::conv-49::6daa60e277,128,cross:A_react_vs_A_plan,0.0879603079433996,0.2999402946896023,9
locomo::conv-49::6daa60e277,128,cross:A_react_vs_A_cot,0.055093293174510796,0.22681541554629803,9
locomo::conv-49::6daa60e277,128,cross:A_plan_vs_A_cot,0.14005362348180295,0.4940520657433404,9
locomo::conv-49::2ad46c9c5c,128,within:A_react,0.78015873015873,0.8619305690129598,3
locomo::conv-49::2ad46c9c5c,128,within:A_plan,0.24826972930608307,0.5556652446587881,3
locomo::conv-49::2ad46c9c5c,128,within:A_cot,0.4271604938271605,0.8712395429611206,3
locomo::conv-49::2ad46c9c5c,128,cross:A_react_vs_A_plan,0.3236292679162272,0.63050134645568,9
locomo::conv-49::2ad46c9c5c,128,cross:A_react_vs_A_cot,0.5704585537918871,0.8184521198272705,9
locomo::conv-49::2ad46c9c5c,128,cross:A_plan_vs_A_cot,0.2933227329602098,0.6175831423865424,9
locomo::conv-50::9ed8827045,128,within:A_react,0.4971937227033829,0.780240555604299,3
locomo::conv-50::9ed8827045,128,within:A_plan,0.5542929292929293,0.8741649190584818,3
locomo::conv-50::9ed8827045,128,within:A_cot,0.19615384615384615,0.5444516837596893,3
locomo::conv-50::9ed8827045,128,cross:A_react_vs_A_plan,0.20771581026376096,0.4902803930971358,9
locomo::conv-50::9ed8827045,128,cross:A_react_vs_A_cot,0.34454430294708643,0.6592943767706553,9
locomo::conv-50::9ed8827045,128,cross:A_plan_vs_A_cot,0.23108427450627675,0.557357519865036,9
locomo::conv-50::cce0e6a42d,128,within:A_react,0.5017215124532197,0.747548242410024,3
locomo::conv-50::cce0e6a42d,128,within:A_plan,0.6701869575657783,0.817627747853597,3
locomo::conv-50::cce0e6a42d,128,within:A_cot,0.47619047619047616,0.7524560689926147,1
locomo::conv-50::cce0e6a42d,128,cross:A_react_vs_A_plan,0.44202975511608994,0.5872023006280264,9
locomo::conv-50::cce0e6a42d,128,cross:A_react_vs_A_cot,0.4613398421981838,0.6982822120189667,6
locomo::conv-50::cce0e6a42d,128,cross:A_plan_vs_A_cot,0.48067435080890436,0.7473133206367493,6
locomo::conv-50::084712beb4,128,within:A_react,0.6108600519414508,0.8115850687026978,3
locomo::conv-50::084712beb4,128,within:A_plan,0.438489783625225,0.6561248699824015,3
locomo::conv-50::084712beb4,128,within:A_cot,0.2924812642554578,0.720839242140452,3
locomo::conv-50::084712beb4,128,cross:A_react_vs_A_plan,0.4386227295249292,0.7160754137569003,9
locomo::conv-50::084712beb4,128,cross:A_react_vs_A_cot,0.21054122242509202,0.5035364031791687,9
locomo::conv-50::084712beb4,128,cross:A_plan_vs_A_cot,0.20956150290834982,0.4486998849444919,9
